楽曲名,難易度,レベル,MAX
EDEN of TRUTH,EXHAUST,13,3876
EDEN of TRUTH,MAXIMUM,17,5661
永遠に幸せになる方法、見つけました。,NOVICE,4,-1
永遠に幸せになる方法、見つけました。,ADVANCED,10,-1
永遠に幸せになる方法、見つけました。,EXHAUST,13,3058
永遠に幸せになる方法、見つけました。,MAXIMUM,18,4538
裏表ラバーズ,NOVICE,3,-1
裏表ラバーズ,ADVANCED,8,-1
裏表ラバーズ,EXHAUST,12,3266
裏表ラバーズ,MAXIMUM,16,5527
インフルエンサー・イズ・デッド,NOVICE,2,-1
インフルエンサー・イズ・デッド,ADVANCED,10,-1
インフルエンサー・イズ・デッド,EXHAUST,13,3476
インフルエンサー・イズ・デッド,MAXIMUM,16,4936
インビジブル,NOVICE,5,-1
インビジブル,ADVANCED,11,-1
インビジブル,EXHAUST,14,3804
インビジブル,MAXIMUM,17,5930
斑鳩,NOVICE,3,-1
斑鳩,ADVANCED,8,-1
斑鳩,EXHAUST,13,3734
斑鳩,MAXIMUM,16,5255
Alice Maestera feat. nomico,NOVICE,2,-1
Alice Maestera feat. nomico,ADVANCED,7,-1
Alice Maestera feat. nomico,EXHAUST,10,2883
Alice Maestera feat. nomico,MAXIMUM,14,4308
Aragami,NOVICE,6,-1
Aragami,ADVANCED,11,-1
Aragami,EXHAUST,15,4787
Aragami,MAXIMUM,17,6497
3y3s (JMBS FUNKOT RMX),NOVICE,5,-1
3y3s (JMBS FUNKOT RMX),ADVANCED,11,-1
3y3s (JMBS FUNKOT RMX),EXHAUST,14,4585
3y3s (JMBS FUNKOT RMX),MAXIMUM,17,6350
Noisy Minority,NOVICE,6,-1
Noisy Minority,ADVANCED,12,-1
Noisy Minority,EXHAUST,16,5326
Noisy Minority,MAXIMUM,18,6586
キュリオシティ,NOVICE,6,-1
キュリオシティ,ADVANCED,12,-1
キュリオシティ,EXHAUST,15,5410
キュリオシティ,MAXIMUM,18,7334
ドリームエンド・サバイバー,NOVICE,6,-1
ドリームエンド・サバイバー,ADVANCED,13,4553
ドリームエンド・サバイバー,EXHAUST,16,6258
ドリームエンド・サバイバー,MAXIMUM,18,7320
黎明スケッチブック,NOVICE,5,-1
黎明スケッチブック,ADVANCED,11,-1
黎明スケッチブック,EXHAUST,14,4913
黎明スケッチブック,MAXIMUM,17,6552
Rebuilding of Paradise Lost,NOVICE,5,-1
Rebuilding of Paradise Lost,ADVANCED,12,-1
Rebuilding of Paradise Lost,EXHAUST,14,4296
Rebuilding of Paradise Lost,MAXIMUM,17,6196
fancy cake!!,NOVICE,5,-1
fancy cake!!,ADVANCED,9,-1
fancy cake!!,EXHAUST,12,3574
fancy cake!!,MAXIMUM,16,5161
準備運動,NOVICE,6,-1
準備運動,ADVANCED,13,4183
準備運動,EXHAUST,15,5209
準備運動,MAXIMUM,18,7046
Sakura Mirage -Drum'n World-,NOVICE,5,-1
Sakura Mirage -Drum'n World-,ADVANCED,10,-1
Sakura Mirage -Drum'n World-,EXHAUST,14,4405
Sakura Mirage -Drum'n World-,MAXIMUM,17,6526
Engraved Mark-Gow's ill! RMX-,NOVICE,6,-1
Engraved Mark-Gow's ill! RMX-,ADVANCED,10,-1
Engraved Mark-Gow's ill! RMX-,EXHAUST,13,4149
Engraved Mark-Gow's ill! RMX-,MAXIMUM,16,5402
デュアルメモリ,NOVICE,3,-1
デュアルメモリ,ADVANCED,9,-1
デュアルメモリ,EXHAUST,14,3793
デュアルメモリ,MAXIMUM,17,6144
刃の如く ft. ネコメアリ,NOVICE,3,-1
刃の如く ft. ネコメアリ,ADVANCED,8,-1
刃の如く ft. ネコメアリ,EXHAUST,12,3195
刃の如く ft. ネコメアリ,MAXIMUM,15,4750
盗宝,NOVICE,3,-1
盗宝,ADVANCED,10,-1
盗宝,EXHAUST,13,3940
盗宝,MAXIMUM,16,5504
ケムマキunderground,NOVICE,6,-1
ケムマキunderground,ADVANCED,12,-1
ケムマキunderground,EXHAUST,15,4739
ケムマキunderground,MAXIMUM,17,6333
Make Magic,NOVICE,6,-1
Make Magic,ADVANCED,13,4388
Make Magic,EXHAUST,16,6228
Make Magic,MAXIMUM,18,7600
HE4VEN ～天国へようこそ～,NOVICE,7,-1
HE4VEN ～天国へようこそ～,ADVANCED,15,4369
HE4VEN ～天国へようこそ～,EXHAUST,17,6285
HE4VEN ～天国へようこそ～,MAXIMUM,20,7334
Fin.ArcDeaR,NOVICE,6,-1
Fin.ArcDeaR,ADVANCED,14,4237
Fin.ArcDeaR,EXHAUST,18,6533
Fin.ArcDeaR,MAXIMUM,19,7400
Immortal saga,NOVICE,6,-1
Immortal saga,ADVANCED,13,3625
Immortal saga,EXHAUST,16,5325
Immortal saga,MAXIMUM,19,7053
infinite:youniverse,NOVICE,6,-1
infinite:youniverse,ADVANCED,11,-1
infinite:youniverse,EXHAUST,14,5099
infinite:youniverse,MAXIMUM,17,7159
If,NOVICE,5,-1
If,ADVANCED,11,-1
If,EXHAUST,14,3789
If,MAXIMUM,17,5099
Boss Rush,NOVICE,6,-1
Boss Rush,ADVANCED,12,-1
Boss Rush,EXHAUST,15,5066
Boss Rush,MAXIMUM,18,7877
Narcissus At Oasis -影虎。 style-,NOVICE,5,-1
Narcissus At Oasis -影虎。 style-,ADVANCED,10,-1
Narcissus At Oasis -影虎。 style-,EXHAUST,13,3704
Narcissus At Oasis -影虎。 style-,MAXIMUM,16,5415
SO FLY ME TO YOU,NOVICE,3,-1
SO FLY ME TO YOU,ADVANCED,7,-1
SO FLY ME TO YOU,EXHAUST,11,2837
SO FLY ME TO YOU,MAXIMUM,15,3722
壊Rave*it!! 壊Rave*it!!,NOVICE,6,-1
壊Rave*it!! 壊Rave*it!!,ADVANCED,13,3187
壊Rave*it!! 壊Rave*it!!,EXHAUST,15,4182
壊Rave*it!! 壊Rave*it!!,MAXIMUM,18,5755
Carry Me Away,NOVICE,5,-1
Carry Me Away,ADVANCED,11,-1
Carry Me Away,EXHAUST,14,4732
Carry Me Away,MAXIMUM,17,5876
恋歌疾風！かるたクイーンいろは,NOVICE,5,-1
恋歌疾風！かるたクイーンいろは,ADVANCED,12,-1
恋歌疾風！かるたクイーンいろは,EXHAUST,15,4639
恋歌疾風！かるたクイーンいろは,MAXIMUM,18,6347
Fly far bounce,NOVICE,5,-1
Fly far bounce,ADVANCED,11,-1
Fly far bounce,EXHAUST,13,3753
Fly far bounce,MAXIMUM,17,4755
Rebellio,NOVICE,7,-1
Rebellio,ADVANCED,13,4503
Rebellio,EXHAUST,17,6327
Rebellio,MAXIMUM,18,8256
超☆超☆光☆速☆出☆前☆最☆速!!! スピード★スター★かなで,NOVICE,8,-1
超☆超☆光☆速☆出☆前☆最☆速!!! スピード★スター★かなで,ADVANCED,15,4038
超☆超☆光☆速☆出☆前☆最☆速!!! スピード★スター★かなで,EXHAUST,17,6027
超☆超☆光☆速☆出☆前☆最☆速!!! スピード★スター★かなで,MAXIMUM,18,7804
Sailing Force,NOVICE,7,-1
Sailing Force,ADVANCED,14,3481
Sailing Force,EXHAUST,17,5643
Sailing Force,MAXIMUM,19,7090
Gamerz FestivaL,NOVICE,6,-1
Gamerz FestivaL,ADVANCED,13,3996
Gamerz FestivaL,EXHAUST,16,5425
Gamerz FestivaL,MAXIMUM,18,7247
ΩVERSOUL,NOVICE,6,-1
ΩVERSOUL,ADVANCED,13,3245
ΩVERSOUL,EXHAUST,16,4244
ΩVERSOUL,MAXIMUM,18,5973
iLLness LiLin,NOVICE,7,-1
iLLness LiLin,ADVANCED,15,3929
iLLness LiLin,EXHAUST,17,5665
iLLness LiLin,MAXIMUM,20,7956
ナナイロライト,NOVICE,3,-1
ナナイロライト,ADVANCED,7,-1
ナナイロライト,EXHAUST,12,3080
ナナイロライト,MAXIMUM,15,3992
Line 4 Ruin -kohumix-,NOVICE,5,-1
Line 4 Ruin -kohumix-,ADVANCED,11,-1
Line 4 Ruin -kohumix-,EXHAUST,14,4537
Line 4 Ruin -kohumix-,MAXIMUM,17,5893
マトリョシカ,NOVICE,3,-1
マトリョシカ,ADVANCED,9,-1
マトリョシカ,EXHAUST,12,2546
マトリョシカ,MAXIMUM,16,4026
POLICY BREAK Medley from SOUND VOLTEX×jubeat,NOVICE,5,-1
POLICY BREAK Medley from SOUND VOLTEX×jubeat,ADVANCED,12,-1
POLICY BREAK Medley from SOUND VOLTEX×jubeat,EXHAUST,16,4528
POLICY BREAK Medley from SOUND VOLTEX×jubeat,MAXIMUM,18,7099
パンダヒーロー,NOVICE,2,-1
パンダヒーロー,ADVANCED,7,-1
パンダヒーロー,EXHAUST,10,3000
パンダヒーロー,MAXIMUM,15,4942
Genesis At Oasis (Hirayasu Matsudo Remix),NOVICE,5,-1
Genesis At Oasis (Hirayasu Matsudo Remix),ADVANCED,10,-1
Genesis At Oasis (Hirayasu Matsudo Remix),EXHAUST,12,2176
Genesis At Oasis (Hirayasu Matsudo Remix),MAXIMUM,16,4138
sink into the dream,NOVICE,4,-1
sink into the dream,ADVANCED,10,-1
sink into the dream,EXHAUST,14,3348
sink into the dream,MAXIMUM,17,5146
湖底遺跡のヴィダー・ハル,NOVICE,4,-1
湖底遺跡のヴィダー・ハル,ADVANCED,8,-1
湖底遺跡のヴィダー・ハル,EXHAUST,12,4132
湖底遺跡のヴィダー・ハル,MAXIMUM,15,4945
FLOOR INFECTION Medley from SOUND VOLTEX×jubeat,NOVICE,6,-1
FLOOR INFECTION Medley from SOUND VOLTEX×jubeat,ADVANCED,13,3898
FLOOR INFECTION Medley from SOUND VOLTEX×jubeat,EXHAUST,17,5963
FLOOR INFECTION Medley from SOUND VOLTEX×jubeat,MAXIMUM,18,7880
Cepheus,NOVICE,4,-1
Cepheus,ADVANCED,12,-1
Cepheus,EXHAUST,15,5225
Cepheus,MAXIMUM,18,7238
Smoked Turkey Rag,NOVICE,4,-1
Smoked Turkey Rag,ADVANCED,9,-1
Smoked Turkey Rag,EXHAUST,12,3171
Smoked Turkey Rag,MAXIMUM,17,5865
クリスタルミサイル,NOVICE,3,-1
クリスタルミサイル,ADVANCED,7,-1
クリスタルミサイル,EXHAUST,11,2374
クリスタルミサイル,MAXIMUM,14,3733
VAMPIRE,NOVICE,4,-1
VAMPIRE,ADVANCED,8,-1
VAMPIRE,EXHAUST,12,3039
VAMPIRE,MAXIMUM,16,4551
Inscape,NOVICE,6,-1
Inscape,ADVANCED,11,-1
Inscape,EXHAUST,14,3949
Inscape,MAXIMUM,17,6020
The Formula,NOVICE,5,-1
The Formula,ADVANCED,12,-1
The Formula,EXHAUST,15,4776
The Formula,MAXIMUM,18,7332
We Go Down,NOVICE,6,-1
We Go Down,ADVANCED,11,-1
We Go Down,EXHAUST,15,4603
We Go Down,MAXIMUM,18,6877
Narcissus At Oasis (Freezer Remix),NOVICE,5,-1
Narcissus At Oasis (Freezer Remix),ADVANCED,10,-1
Narcissus At Oasis (Freezer Remix),EXHAUST,14,3948
Narcissus At Oasis (Freezer Remix),MAXIMUM,16,4250
雪月花 (Shiron & Sound Artz Remix),NOVICE,4,-1
雪月花 (Shiron & Sound Artz Remix),ADVANCED,9,-1
雪月花 (Shiron & Sound Artz Remix),EXHAUST,14,3635
雪月花 (Shiron & Sound Artz Remix),MAXIMUM,16,4347
Junk Mania,NOVICE,5,-1
Junk Mania,ADVANCED,11,-1
Junk Mania,EXHAUST,15,4315
Junk Mania,MAXIMUM,17,5398
Gaze ft. 紫崎 雪,NOVICE,5,-1
Gaze ft. 紫崎 雪,ADVANCED,10,-1
Gaze ft. 紫崎 雪,EXHAUST,12,3264
Gaze ft. 紫崎 雪,MAXIMUM,15,4572
Voltage Higher,NOVICE,5,-1
Voltage Higher,ADVANCED,10,-1
Voltage Higher,EXHAUST,14,3827
Voltage Higher,MAXIMUM,17,5982
Blue Fire,NOVICE,4,-1
Blue Fire,ADVANCED,8,-1
Blue Fire,EXHAUST,12,3878
Blue Fire,MAXIMUM,16,4992
Crystallize Forest,NOVICE,3,-1
Crystallize Forest,ADVANCED,8,-1
Crystallize Forest,EXHAUST,11,3900
Crystallize Forest,MAXIMUM,15,4727
物凄いスペースシャトルでこいしが物凄いうた,NOVICE,5,-1
物凄いスペースシャトルでこいしが物凄いうた,ADVANCED,11,-1
物凄いスペースシャトルでこいしが物凄いうた,EXHAUST,15,4698
物凄いスペースシャトルでこいしが物凄いうた,MAXIMUM,17,6588
NEWBORN CRYING,NOVICE,3,-1
NEWBORN CRYING,ADVANCED,9,-1
NEWBORN CRYING,EXHAUST,12,3821
NEWBORN CRYING,MAXIMUM,16,4944
トーホータノシ (feat. 抹),NOVICE,5,-1
トーホータノシ (feat. 抹),ADVANCED,10,-1
トーホータノシ (feat. 抹),EXHAUST,14,4247
トーホータノシ (feat. 抹),MAXIMUM,16,6176
Dystopia,NOVICE,2,-1
Dystopia,ADVANCED,7,-1
Dystopia,EXHAUST,12,3051
Dystopia,MAXIMUM,15,4813
Technical Master,NOVICE,4,-1
Technical Master,ADVANCED,8,-1
Technical Master,EXHAUST,14,3825
Technical Master,MAXIMUM,17,5333
恋とキングコング,NOVICE,3,-1
恋とキングコング,ADVANCED,8,-1
恋とキングコング,EXHAUST,12,3016
恋とキングコング,MAXIMUM,15,4240
Mind Mapping(ag Remix),NOVICE,4,-1
Mind Mapping(ag Remix),ADVANCED,9,-1
Mind Mapping(ag Remix),EXHAUST,13,3434
Mind Mapping(ag Remix),MAXIMUM,16,4877
405nm(Shu※mix),NOVICE,6,-1
405nm(Shu※mix),ADVANCED,10,-1
405nm(Shu※mix),EXHAUST,14,4345
405nm(Shu※mix),MAXIMUM,17,6116
The Golden Era,NOVICE,6,-1
The Golden Era,ADVANCED,11,-1
The Golden Era,EXHAUST,15,4346
The Golden Era,MAXIMUM,18,6570
Vigor,NOVICE,5,-1
Vigor,ADVANCED,11,-1
Vigor,EXHAUST,14,3703
Vigor,MAXIMUM,17,5167
私とあなたのMYOURENJI☆,NOVICE,3,-1
私とあなたのMYOURENJI☆,ADVANCED,7,-1
私とあなたのMYOURENJI☆,EXHAUST,12,3288
私とあなたのMYOURENJI☆,MAXIMUM,16,4929
Regretful Flower,NOVICE,4,-1
Regretful Flower,ADVANCED,11,-1
Regretful Flower,EXHAUST,14,4061
Regretful Flower,MAXIMUM,16,5259
雷鼓サンダービート,NOVICE,5,-1
雷鼓サンダービート,ADVANCED,11,-1
雷鼓サンダービート,EXHAUST,15,4105
雷鼓サンダービート,MAXIMUM,18,5368
幽玄の桜,NOVICE,5,-1
幽玄の桜,ADVANCED,10,-1
幽玄の桜,EXHAUST,14,3835
幽玄の桜,MAXIMUM,17,5189
FIRE IN MY HEART,NOVICE,2,-1
FIRE IN MY HEART,ADVANCED,8,-1
FIRE IN MY HEART,EXHAUST,13,2744
FIRE IN MY HEART,MAXIMUM,18,5286
透明な記憶の風穴,NOVICE,4,-1
透明な記憶の風穴,ADVANCED,10,-1
透明な記憶の風穴,EXHAUST,12,3254
透明な記憶の風穴,MAXIMUM,16,5096
I feel something for you,NOVICE,2,-1
I feel something for you,ADVANCED,7,-1
I feel something for you,EXHAUST,12,3021
I feel something for you,MAXIMUM,15,4183
Finale,NOVICE,5,-1
Finale,ADVANCED,9,-1
Finale,EXHAUST,14,5422
Finale,MAXIMUM,17,6630
ぱあ,NOVICE,4,-1
ぱあ,ADVANCED,9,-1
ぱあ,EXHAUST,13,2904
ぱあ,MAXIMUM,16,4346
つるぺったん,NOVICE,4,-1
つるぺったん,ADVANCED,10,-1
つるぺったん,EXHAUST,13,3370
つるぺったん,MAXIMUM,16,5418
SprrRush!!,NOVICE,5,-1
SprrRush!!,ADVANCED,9,-1
SprrRush!!,EXHAUST,12,3956
SprrRush!!,MAXIMUM,15,5593
Sweet Requiem,NOVICE,6,-1
Sweet Requiem,ADVANCED,12,-1
Sweet Requiem,EXHAUST,16,5152
Sweet Requiem,MAXIMUM,18,7381
少女救世論,NOVICE,3,-1
少女救世論,ADVANCED,7,-1
少女救世論,EXHAUST,12,3559
少女救世論,MAXIMUM,16,5713
Gorgetech,NOVICE,5,-1
Gorgetech,ADVANCED,12,-1
Gorgetech,EXHAUST,15,4254
Gorgetech,MAXIMUM,18,6057
ゴーストマスコット,NOVICE,4,-1
ゴーストマスコット,ADVANCED,10,-1
ゴーストマスコット,EXHAUST,13,3536
ゴーストマスコット,MAXIMUM,16,5351
オンディーヌの泪,NOVICE,6,-1
オンディーヌの泪,ADVANCED,11,-1
オンディーヌの泪,EXHAUST,14,4322
オンディーヌの泪,MAXIMUM,17,6897
Root Consciousness,NOVICE,3,-1
Root Consciousness,ADVANCED,10,-1
Root Consciousness,EXHAUST,13,3499
Root Consciousness,MAXIMUM,16,5121
冒涜的選択のアレグリア ft. Mayumi Morinaga,NOVICE,3,-1
冒涜的選択のアレグリア ft. Mayumi Morinaga,ADVANCED,7,-1
冒涜的選択のアレグリア ft. Mayumi Morinaga,EXHAUST,13,3386
冒涜的選択のアレグリア ft. Mayumi Morinaga,MAXIMUM,15,4560
Burn everything,NOVICE,2,-1
Burn everything,ADVANCED,8,-1
Burn everything,EXHAUST,13,4706
Burn everything,MAXIMUM,16,6513
廃獄ドリームランド,NOVICE,4,-1
廃獄ドリームランド,ADVANCED,10,-1
廃獄ドリームランド,EXHAUST,14,3799
廃獄ドリームランド,MAXIMUM,17,5670
SACRIFICE feat. ayame,NOVICE,5,-1
SACRIFICE feat. ayame,ADVANCED,11,-1
SACRIFICE feat. ayame,EXHAUST,14,5344
SACRIFICE feat. ayame,MAXIMUM,18,6402
Legendary Road,NOVICE,6,-1
Legendary Road,ADVANCED,13,4228
Legendary Road,EXHAUST,16,6136
Legendary Road,MAXIMUM,18,8278
rhythmology study,NOVICE,5,-1
rhythmology study,ADVANCED,11,-1
rhythmology study,EXHAUST,14,3447
rhythmology study,MAXIMUM,17,5839
dreamin' of u,NOVICE,5,-1
dreamin' of u,ADVANCED,10,-1
dreamin' of u,EXHAUST,13,3652
dreamin' of u,MAXIMUM,16,5314
JUNKIE FLAVOR,NOVICE,6,-1
JUNKIE FLAVOR,ADVANCED,12,-1
JUNKIE FLAVOR,EXHAUST,16,4594
JUNKIE FLAVOR,MAXIMUM,18,5904
Game Over,NOVICE,5,-1
Game Over,ADVANCED,11,-1
Game Over,EXHAUST,14,4364
Game Over,MAXIMUM,17,6027
PUPA,NOVICE,6,-1
PUPA,ADVANCED,13,3895
PUPA,EXHAUST,16,5839
PUPA,MAXIMUM,18,7631
Altale,NOVICE,5,-1
Altale,ADVANCED,10,-1
Altale,EXHAUST,13,3186
Altale,MAXIMUM,17,4996
Theme of Ricerca,NOVICE,6,-1
Theme of Ricerca,ADVANCED,11,-1
Theme of Ricerca,EXHAUST,15,4358
Theme of Ricerca,MAXIMUM,18,5759
Mirrorwall,NOVICE,6,-1
Mirrorwall,ADVANCED,13,3618
Mirrorwall,EXHAUST,16,5004
Mirrorwall,MAXIMUM,18,7225
WHITEOUT,NOVICE,7,-1
WHITEOUT,ADVANCED,15,5042
WHITEOUT,EXHAUST,18,7668
WHITEOUT,MAXIMUM,20,9350
FIN4LE ～終止線の彼方へ～,NOVICE,7,-1
FIN4LE ～終止線の彼方へ～,ADVANCED,15,3859
FIN4LE ～終止線の彼方へ～,EXHAUST,18,6130
FIN4LE ～終止線の彼方へ～,MAXIMUM,20,7673
Deadly force,NOVICE,6,-1
Deadly force,ADVANCED,14,3137
Deadly force,EXHAUST,17,4747
Deadly force,MAXIMUM,19,6605
Dyscontrolled Galaxy,NOVICE,6,-1
Dyscontrolled Galaxy,ADVANCED,14,4366
Dyscontrolled Galaxy,EXHAUST,17,6475
Dyscontrolled Galaxy,MAXIMUM,19,8022
セイレーン ～悲壮の竪琴～,NOVICE,6,-1
セイレーン ～悲壮の竪琴～,ADVANCED,14,4774
セイレーン ～悲壮の竪琴～,EXHAUST,17,7294
セイレーン ～悲壮の竪琴～,MAXIMUM,19,8707
Staring at star,NOVICE,6,-1
Staring at star,ADVANCED,14,4747
Staring at star,EXHAUST,17,6572
Staring at star,MAXIMUM,19,8225
Juggler's Maddness,NOVICE,6,-1
Juggler's Maddness,ADVANCED,13,3877
Juggler's Maddness,EXHAUST,16,6055
Juggler's Maddness,MAXIMUM,18,8441
神獄烙桜,NOVICE,6,-1
神獄烙桜,ADVANCED,13,3184
神獄烙桜,EXHAUST,16,4725
神獄烙桜,MAXIMUM,18,6719
ULTiMATE INFLATiON,NOVICE,6,-1
ULTiMATE INFLATiON,ADVANCED,13,4938
ULTiMATE INFLATiON,EXHAUST,16,6095
ULTiMATE INFLATiON,MAXIMUM,18,8645
Concertino in Blue,NOVICE,6,-1
Concertino in Blue,ADVANCED,12,-1
Concertino in Blue,EXHAUST,15,4149
Concertino in Blue,MAXIMUM,18,5775
Fáfnir,NOVICE,5,-1
Fáfnir,ADVANCED,11,-1
Fáfnir,EXHAUST,15,4194
Fáfnir,MAXIMUM,17,6049
Spirit of the Beast,NOVICE,6,-1
Spirit of the Beast,ADVANCED,13,3808
Spirit of the Beast,EXHAUST,16,4496
Spirit of the Beast,MAXIMUM,18,6693
獅子奮迅,NOVICE,5,-1
獅子奮迅,ADVANCED,11,-1
獅子奮迅,EXHAUST,15,4557
獅子奮迅,MAXIMUM,17,5993
Grand-Guignol,NOVICE,6,-1
Grand-Guignol,ADVANCED,12,-1
Grand-Guignol,EXHAUST,15,4807
Grand-Guignol,MAXIMUM,18,7042
Apocrypha,NOVICE,5,-1
Apocrypha,ADVANCED,10,-1
Apocrypha,EXHAUST,14,4301
Apocrypha,MAXIMUM,17,6188
胸の中で誰かが,NOVICE,2,-1
胸の中で誰かが,ADVANCED,9,-1
胸の中で誰かが,EXHAUST,12,3594
胸の中で誰かが,MAXIMUM,15,5037
のぼれ八坂坂！,NOVICE,4,-1
のぼれ八坂坂！,ADVANCED,10,-1
のぼれ八坂坂！,EXHAUST,15,4776
のぼれ八坂坂！,MAXIMUM,18,6694
Claidheamh Soluis-光の剣- feat.はるの,NOVICE,4,-1
Claidheamh Soluis-光の剣- feat.はるの,ADVANCED,8,-1
Claidheamh Soluis-光の剣- feat.はるの,EXHAUST,13,4101
Claidheamh Soluis-光の剣- feat.はるの,MAXIMUM,16,5505
Glitter Flatter Scatter,NOVICE,6,-1
Glitter Flatter Scatter,ADVANCED,13,3891
Glitter Flatter Scatter,EXHAUST,16,5673
Glitter Flatter Scatter,MAXIMUM,18,7547
WONDER_WOBBLER,NOVICE,5,-1
WONDER_WOBBLER,ADVANCED,9,-1
WONDER_WOBBLER,EXHAUST,14,4267
WONDER_WOBBLER,MAXIMUM,17,6447
waxing and wanding(SS Remix),NOVICE,4,-1
waxing and wanding(SS Remix),ADVANCED,9,-1
waxing and wanding(SS Remix),EXHAUST,13,3754
waxing and wanding(SS Remix),MAXIMUM,16,5186
444,NOVICE,5,-1
444,ADVANCED,11,-1
444,EXHAUST,14,4480
444,MAXIMUM,17,5177
NEON LOVE♥POTION!!!,NOVICE,5,-1
NEON LOVE♥POTION!!!,ADVANCED,11,-1
NEON LOVE♥POTION!!!,EXHAUST,14,4208
NEON LOVE♥POTION!!!,MAXIMUM,17,6033
Doppelganger,NOVICE,6,-1
Doppelganger,ADVANCED,12,-1
Doppelganger,EXHAUST,16,5569
Doppelganger,MAXIMUM,18,6908
チルノのパーフェクトさんすう教室　⑨周年バージョン,NOVICE,5,-1
チルノのパーフェクトさんすう教室　⑨周年バージョン,ADVANCED,11,-1
チルノのパーフェクトさんすう教室　⑨周年バージョン,EXHAUST,13,4258
チルノのパーフェクトさんすう教室　⑨周年バージョン,MAXIMUM,16,5359
Time to Air (jazz it up style),NOVICE,4,-1
Time to Air (jazz it up style),ADVANCED,10,-1
Time to Air (jazz it up style),EXHAUST,14,3455
Time to Air (jazz it up style),MAXIMUM,16,4560
Sadistic Stabbing,NOVICE,5,-1
Sadistic Stabbing,ADVANCED,11,-1
Sadistic Stabbing,EXHAUST,14,3720
Sadistic Stabbing,MAXIMUM,17,5723
Ghost Trigger,NOVICE,6,-1
Ghost Trigger,ADVANCED,12,-1
Ghost Trigger,EXHAUST,15,4041
Ghost Trigger,MAXIMUM,18,5585
couleur automnes de chocolat,NOVICE,4,-1
couleur automnes de chocolat,ADVANCED,10,-1
couleur automnes de chocolat,EXHAUST,14,3099
couleur automnes de chocolat,MAXIMUM,16,4387
ミラクル・スイート・スイーツ・マジック！！,NOVICE,4,-1
ミラクル・スイート・スイーツ・マジック！！,ADVANCED,9,-1
ミラクル・スイート・スイーツ・マジック！！,EXHAUST,12,3596
ミラクル・スイート・スイーツ・マジック！！,MAXIMUM,16,5136
ナイト・オブ・ロンド,NOVICE,3,-1
ナイト・オブ・ロンド,ADVANCED,10,-1
ナイト・オブ・ロンド,EXHAUST,13,2507
ナイト・オブ・ロンド,MAXIMUM,15,3995
Drizzly Venom,NOVICE,5,-1
Drizzly Venom,ADVANCED,9,-1
Drizzly Venom,EXHAUST,13,3421
Drizzly Venom,MAXIMUM,17,5134
銃弾は解を撃ち抜いて,NOVICE,5,-1
銃弾は解を撃ち抜いて,ADVANCED,10,-1
銃弾は解を撃ち抜いて,EXHAUST,14,3851
銃弾は解を撃ち抜いて,MAXIMUM,17,6559
シノビシノノメ,NOVICE,4,-1
シノビシノノメ,ADVANCED,10,-1
シノビシノノメ,EXHAUST,13,3420
シノビシノノメ,MAXIMUM,16,4301
けもののおうじゃ★めうめう,NOVICE,5,-1
けもののおうじゃ★めうめう,ADVANCED,10,-1
けもののおうじゃ★めうめう,EXHAUST,14,3448
けもののおうじゃ★めうめう,MAXIMUM,16,4653
キリステゴメン,NOVICE,5,-1
キリステゴメン,ADVANCED,11,-1
キリステゴメン,EXHAUST,14,3319
キリステゴメン,MAXIMUM,16,5063
ペタ靴と憂夜リムーバー,NOVICE,5,-1
ペタ靴と憂夜リムーバー,ADVANCED,11,-1
ペタ靴と憂夜リムーバー,EXHAUST,14,2924
ペタ靴と憂夜リムーバー,MAXIMUM,17,4292
テレポーテーションでやってきた彼とのその後の顛末,NOVICE,4,-1
テレポーテーションでやってきた彼とのその後の顛末,ADVANCED,9,-1
テレポーテーションでやってきた彼とのその後の顛末,EXHAUST,12,3629
テレポーテーションでやってきた彼とのその後の顛末,MAXIMUM,16,5526
地球防衛乙女パンナコッター,NOVICE,3,-1
地球防衛乙女パンナコッター,ADVANCED,8,-1
地球防衛乙女パンナコッター,EXHAUST,12,2209
地球防衛乙女パンナコッター,MAXIMUM,16,3447
新米天使のメランコリー,NOVICE,5,-1
新米天使のメランコリー,ADVANCED,10,-1
新米天使のメランコリー,EXHAUST,13,3047
新米天使のメランコリー,MAXIMUM,16,3841
狂騒こども節,NOVICE,4,-1
狂騒こども節,ADVANCED,11,-1
狂騒こども節,EXHAUST,14,2875
狂騒こども節,MAXIMUM,16,4155
炎夏の音,NOVICE,5,-1
炎夏の音,ADVANCED,10,-1
炎夏の音,EXHAUST,14,4077
炎夏の音,MAXIMUM,17,5710
セイクリッド ルイン,NOVICE,6,-1
セイクリッド ルイン,ADVANCED,12,-1
セイクリッド ルイン,EXHAUST,15,5144
セイクリッド ルイン,MAXIMUM,18,7461
Scarlet Lance,NOVICE,6,-1
Scarlet Lance,ADVANCED,12,-1
Scarlet Lance,EXHAUST,15,4514
Scarlet Lance,MAXIMUM,18,7110
怒槌,NOVICE,6,-1
怒槌,ADVANCED,12,-1
怒槌,EXHAUST,15,6342
怒槌,MAXIMUM,18,10139
DREAMING-ING!!,NOVICE,3,-1
DREAMING-ING!!,ADVANCED,10,-1
DREAMING-ING!!,EXHAUST,13,2723
DREAMING-ING!!,MAXIMUM,15,3833
Poppin’Cats!!,NOVICE,5,-1
Poppin’Cats!!,ADVANCED,11,-1
Poppin’Cats!!,EXHAUST,15,3649
